"nat"	"t"	"K"	"cK"	"Gclu"	"Aclu"	"cC"	"D"	"L"	"E"	"cL"	"ent"	"AS"	"ASG"
65.52	0.56	69.6167664670659	69.6167664670659	0.930021318540253	0.945529318010776	0.419378111247385	3	1.36733580624045	5813	1.2062190090968	4.34015671589262	0.684072058216076	0.31751796104294
66.69	0.57	70.5868263473054	70.5868263473054	0.925926893974046	0.944817452721992	0.425221845465695	3	1.3574078114772	5894	1.20229784689419	4.36074970568128	0.63326579792655	0.325597505479858
67.86	0.58	72.1437125748503	72.1437125748503	0.925613714712977	0.946000159627636	0.434600678161749	3	1.34289766528475	6024	1.19616740937506	4.41580336101955	0.603243148381788	0.331902779472807
69.03	0.59	75.4011976047904	75.4011976047904	0.915165190279934	0.93597453330278	0.454224081956569	3	1.33505265420159	6296	1.18394707002079	4.56908987142595	0.536679149424293	0.332162342977035
70.2	0.6	77.5568862275449	77.5568862275449	0.90338639041131	0.92941831785142	0.467210157997259	4	1.32401756076668	6476	1.17627673409455	4.5604511190164	0.469521314507094	0.317588524054427
71.37	0.61	79.3293413173653	79.3293413173653	0.896314587320205	0.93031369228278	0.477887598297381	4	1.3081700396188	6624	1.17019946398494	4.48400000603363	0.417993338794919	0.304223879442318
72.54	0.62	80.8383233532934	80.8383233532934	0.895354266370958	0.930847789079007	0.486977851525864	5	1.94040833994661	6750	1.16517944885398	4.76069699181928	0.40316649869673	0.292754953075717
73.71	0.63	82.2275449101796	82.2275449101796	0.893351891391636	0.92879276869313	0.49534665608542	5	1.92915374071135	6866	1.16067695249985	4.96834728269819	0.405107752752471	0.281305055415871
74.88	0.64	84.7305389221557	84.7305389221557	0.887998831190516	0.916041255837374	0.510424933265998	4	1.81949354303441	7075	1.15283734114267	5.25132416712098	0.407053220441627	0.261940095096762
76.05	0.65	92.1077844311377	92.1077844311377	0.895288015155825	0.912897269338242	0.554866171271914	4	1.75369742442825	7691	1.13155863021125	5.22034847432402	0.480603352872817	0.195385387407684
77.22	0.66	95.5928143712575	95.5928143712575	0.901320276057721	0.910874558329408	0.575860327537696	4	1.64439795108578	7982	1.12234302881779	5.22570781397825	0.51172823376195	0.173099971120255
78.39	0.67	98.9820359281437	98.9820359281437	0.909326799253676	0.913428618294268	0.596277324868336	4	1.58444556669793	8265	1.1138329594315	5.21251934150592	0.556013177517024	0.152193858741498
79.56	0.68	101.808383233533	101.808383233533	0.919364022064541	0.919792693978242	0.613303513455018	4	1.55876199408412	8501	1.10704985178801	5.08112016029567	0.60879496752016	0.138753096875859
80.73	0.69	104.407185628743	104.407185628743	0.926486635533757	0.925733937910189	0.628958949570738	4	1.51323858307481	8718	1.1010467187897	4.95729709403413	0.633146242808727	0.127679211801953
81.9	0.7	106.550898203593	106.550898203593	0.936354640807441	0.933018274871785	0.641872880744535	4	1.49888175456316	8897	1.09625344440902	4.77628818783608	0.682313864233452	0.115923015089204
83.07	0.71	110.14371257485	110.14371257485	0.946294672942231	0.938217443954892	0.663516340812351	4	1.46670514392901	9197	1.08852121771673	4.71699560708401	0.725870509532041	0.100936925407152
84.24	0.72	112.850299401198	112.850299401198	0.945680188733921	0.936635010105417	0.679821080730106	3	1.39095303369165	9423	1.08292985642184	4.69144370666761	0.676505967923287	0.0898379068289793
85.41	0.73	115.281437125748	115.281437125749	0.944319456831324	0.934723681894206	0.694466488709328	3	1.34304884207489	9626	1.07806783405773	4.50284334470675	0.6279837337199	0.0815493089647803
86.58	0.74	117.844311377246	117.844311377246	0.939260345066656	0.931513943908557	0.709905490224371	3	1.31931318086718	9840	1.07309767676454	4.59339088589021	0.56272006801927	0.0727385723654997
87.75	0.75	120.359281437126	120.359281437126	0.932911900215744	0.925941636172088	0.725055912271842	3	1.30185412307914	10050	1.06836735424522	4.47402343574647	0.471413898303501	0.0660904164240949
88.92	0.76	123.221556886228	123.221556886228	0.925303831086718	0.921559366579965	0.742298535459202	3	1.27977779380997	10289	1.06315139419522	4.52882379279289	0.363070085716187	0.0599044390004243
90.09	0.77	129.544910179641	129.544910179641	0.9137458789102	0.918704137224144	0.780391025178559	3	1.23108000865738	10817	1.05221314815633	4.55986333323935	0.170695812286653	0.0482376053380488
91.26	0.78	132.107784431138	132.107784431138	0.912913070621545	0.918588065411939	0.795830026693601	3	1.20900367938821	11031	1.04799221963631	4.66550303632688	0.135297554198382	0.0458391592544108
92.43	0.79	134.419161676647	134.419161676647	0.913684673318806	0.920266827241124	0.809753986003896	3	1.1932760984056	11224	1.04428330165672	4.76675357479337	0.0982634975721137	0.0430093056753194
93.6	0.8	136.395209580838	136.395209580838	0.9151640428998	0.922387421381664	0.821657889041195	3	1.18029002236491	11389	1.04118296328713	4.65047820717413	0.0701910105718089	0.0398427566071123
94.77	0.81	138.730538922156	138.730538922156	0.918319012699498	0.923769463949561	0.835726138085275	2	1.16427386191472	11584	1.03759940612587	4.72679919079122	0.0480414692147391	0.0373897209099738
95.94	0.82	140.898203592814	140.898203592814	0.921859850361185	0.927195122119938	0.848784358992858	2	1.15121564100714	11765	1.03434819103469	4.52331971075051	0.0255727345186707	0.0356991846014536
97.11	0.83	146.910179640719	146.910179640719	0.933421638226708	0.938779314535083	0.885001082173003	2	1.114998917827	12267	1.02568677825364	4.40233404204526	-0.0311550429947875	0.0276621951071008
98.28	0.84	149.341317365269	149.341317365269	0.94029210281926	0.944789915741252	0.899646490152226	2	1.10035350984777	12470	1.02232404568338	4.30241087540229	-0.0375397939249374	0.0243259398665577
99.45	0.85	151.988023952096	151.988023952096	0.948447007892289	0.951463967280905	0.915590505735517	2	1.08440949426448	12691	1.01874916439064	4.09524132285446	-0.0243031490564785	0.0201542154275376
100.62	0.86	153.832335329341	153.832335329341	0.954504554970376	0.957025487790811	0.926700815236996	2	1.073299184763	12845	1.01630912719443	3.66643079653152	-0.027948621575963	0.0177685134023798
101.79	0.87	155.652694610778	155.652694610778	0.958903981472138	0.960663877586435	0.937666835004689	2	1.06233316499531	12997	1.01394053102225	3.77124557461354	-0.0360996278871112	0.0142827386374785
102.96	0.88	157.449101796407	157.449101796407	0.962719548054887	0.963696897202345	0.948488565038597	2	1.0515114349614	13147	1.01164071543727	3.52092275755357	-0.0391155087630658	0.0112196131512317
